# nb= nombre de noeuds
# L=temps_cpu reconstitueReseauListe
# H=temps_cpu reconstitueReseauHachage
# A=temps_cpu reconstitueReseauArbre
# La taille  de chaque table de Hachage vaut : chaines->nbChaines*5
# Les temps sont obtenus apres 10 repetitions des fonctions de reconstitutions

nb		    L	            H	            A
90000		637.099000	14.561000	2.019000
91200		665.639000	15.584000	1.999000
93600		700.497000	16.338000	1.950000
93900		679.555000	14.414000	1.758000
96000		725.955000	16.468000	2.030000
97800		753.299000	15.398000	2.220000
100200		793.795000	16.451000	2.048000
100200		808.082000	17.106000	2.139000
104100		885.489000	18.864000	1.930000
105600		802.438000	16.804000	1.936000
108000		957.413000	18.882000	2.195000
108600		855.903000	18.539000	2.215000
110100		970.552000	21.727000	2.341000
111600		2082.809000	20.149000	2.182000
111600		809.384000	15.761000	1.992000
113400		863.702000	17.792000	2.094000
115800		833.558000	17.035000	1.904000
117900		882.024000	17.143000	2.339000
118500		979.047000	17.686000	2.084000
119700		955.695000	19.704000	2.914000
