# nb= nombre de points total des chaines
# L=temps_cpu de reconstitueReseauListe en seconde
# H=temps_cpu de reconstitueReseauHachage en seconde
# A=temps_cpu de reconstitueReseauArbre en seconde
# La taille  de chaque table de Hachage vaut : chaines->nbChaines*5
# Les temps sont obtenus apres 1 repetitions des fonctions de reconstitutions

# nb		    L	            H	            A
170		0.026541	0.013160	0.051852
65		0.000900	0.001328	0.002122
224		0.003660	0.004241	0.066489
108		0.001727	0.002920	0.005907
133		0.001721	0.001501	0.002065
506		0.024637	0.027317	0.429397
540		0.109325	0.087682	0.517015
713		0.042155	0.078347	1.221365
768		0.042610	0.042611	1.532941
780		0.067636	0.045389	1.361394
1050		0.104868	0.189971	4.799301
1032		0.167697	0.168113	3.047608
1078		0.109281	0.086981	5.204449
1250		0.149425	0.466183	5.556971
1250		0.237593	0.198483	5.304467
90		0.002705	0.009671	0.033735
96		0.003504	0.001957	0.021853
120		0.003523	0.003625	0.026901
48		0.001225	0.000591	0.001572
72		0.001866	0.002214	0.002152
